_1;recno;RAJ2000;DEJ2000;e_RAJ2000;e_DEJ2000;Vmag;e_Vmag;Bmag;e_Bmag
 ; ;deg;deg;arcsec;arcsec;mag;mag;mag;mag
----------------------------------------;--------;----------;----------;------;------;------;------;------;------
0                                       ;27926583;265.111251;-32.018370; 0.135; 0.261; 9.930; 0.195; 9.907; 0.000

1                                       ;27924984;264.963848;-32.031791; 0.074; 0.211;10.007; 0.077;10.311; 0.018

2                                       ;27924985;264.973559;-32.038254; 0.169; 0.274; 9.232; 0.000; 9.351; 0.000

3;;;;;;;;;

4                                       ;27924974;264.926758;-32.099257; 0.080; 0.157;10.193; 0.061;10.348; 0.021

5                                       ;27911478;265.245243;-32.101476; 0.127; 0.289;10.488; 0.036;10.743; 0.021

6                                       ;27911535;265.104690;-32.103120; 0.115; 0.218;10.818; 0.032;11.168; 0.026

7                                       ;27911494;265.286522;-32.114824; 0.120; 0.268;10.651; 0.042;11.066; 0.021

8                                       ;27910074;265.109375;-32.124089; 0.112; 0.219;10.510; 0.035;10.746; 0.023

9                                       ;27924990;264.826462;-32.129474; 0.138; 0.209;10.506; 0.023;10.740; 0.021

10                                      ;27924995;264.816776;-32.129223; 0.092; 0.143; 9.948; 0.094;10.000; 0.046

11                                      ;27924991;264.841188;-32.132294; 0.071; 0.126;10.276; 0.029;10.618; 0.017

12                                      ;27911485;265.311723;-32.134265; 0.393; 0.195;10.026; 0.108;11.781; 0.017

13                                      ;27911474;265.248799;-32.159561; 0.147; 0.265; 9.003; 0.000; 9.075; 0.000

14                                      ;27910068;265.052647;-32.159137; 0.134; 0.218; 9.750; 0.000; 9.830; 0.000

15                                      ;27924913;264.973798;-32.173616; 0.140; 0.182; 9.020; 0.000; 9.123; 0.000

16                                      ;27911466;265.227122;-32.176136; 0.188; 0.269; 9.455; 0.000; 9.539; 0.000

17                                      ;27910056;265.082431;-32.179350; 0.181; 0.170; 8.724; 0.000; 8.831; 0.000

18                                      ;27910048;265.074166;-32.182864; 0.138; 0.208; 9.968; 0.125; 9.984; 0.068

